the_geom,fb30_indian,fb30_all_other,american_indian_eskimo_1930,american_indian_eskimo_1940,asian_pacific_1930,asian_pacific_1940,black_pop_1930,black_pop_1940,city,city_id,density_1930,density_1940,other_1930,other_1940,source_1930,source_1940,state,white_pop_1930,white_pop_1940,fb30_afr_amer,fb30_chinese,cartodb_id,fb30_japanese,fb30_other_races,fb30_white,fb40_afr_amer,fb40_all_other,fb40_chinese,fb40_indian,fb40_japanese,fb40_other_races,fb40_white,fb30_percent,fb40_percent,fb_40,fb_30,foreign_white_only_1930,foreign_white_only_1940,native_pop_1940,native_pop_1930,total_pop_1930,total_pop_1940,cartodb_georef_status,,
0101000020E610000022A64412BD045CC01A170E8464B94040,,,,,,,,4263,Phoenix,14,,,,778,,,AZ,,60373,,,5,,,4565,,,196,,16,,4097,,6.6,4322,,9.5,,61092,,48118,65414,TRUE,,
,,,,,,,,,Lower Westchester Co.,197,,,,,,,NY,,,,,174,,,,,,,,,,,,,,,,,,,,,FALSE,,
0101000020E61000000113B875376154C00A4B3CA06C8A4440,1,1,0,0,0,0,0,0,Akron,114,0,0,0,0,,,OH,0,0,27,49,94,2,53,31614,46,0,12,0,0,12,25420,12.4,10.4,25478,31694,,,219313,223346,255040,244791,TRUE,,
0101000020E610000043908312667052C00803CFBD87534540,6,1,,,,,,,Albany,193,,,,,,,NY,,,48,45,170,3,55,17921,36,0,26,2,1,29,15178,14.1,11.7,15243,18024,,,115334,109388,127412,130577,TRUE,,
0101000020E6100000CF49EF1B5FDF52C0E0F3C308E14D4440,,,,,,,,,Allentown,199,,,,,,,PA,,,,,176,,,9607,,,,,,,7854,10.4,8.1,7854,9620,,,89050,82943,92563,96904,TRUE,,
0101000020E6100000139B8F6B439953C06E8B321B64424440,,,,,,,,,Altoona,237,,,,,,,PA,,,,,179,,,5955,,,,,,,4754,7.3,5.9,4759,5969,,,75455,76085,82054,80214,TRUE,,
0101000020E61000008C4AEA04347559C023DBF97E6A9C4140,,,,,,,,2761,Amarillo,151,,,,25,,,TX,,48900,,,129,,,955,,,11,,1,,649,,1.3,662,,2.2,,51024,,43132,51686,TRUE,,
0101000020E610000070EB6E9EEA4658C043FF04172B5E4040,,,0,0,0,0,0,0,Arlington,265,,,0,0,,,MA,0,0,,,181,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000001D554D1075A354C0FE43FAEDEBCC4140,,,0,0,0,0,0,0,Asheville,90,0,0,0,0,2,7,NC,0,0,,,75,,,842,,,,,,,795,1.7,1.6,802,848,,,50508,49345,50193,51310,TRUE,,
0101000020E610000022E010AAD41855C01D5A643BDFDF4040,,,0,0,0,0,0,0,Atlanta,33,7769,8711,0,0,1,6,GA,0,0,35,,22,,29,4728,27,1,19,1,13,34,4293,1.8,1.4,4354,4792,,,297934,265574,270366,302288,TRUE,,
0101000020E6100000D39FFD48119B52C01F4B1FBAA0AE4340,,,,,,,,,Atlantic City,189,,,,,,,NJ,,,,,166,,,9906,,,21,,8,,8195,15.8,13.4,8594,10465,,,55500,55733,66198,64094,TRUE,,
0101000020E61000004AB54FC7637E54C0D5B2B5BE48BC4040,,,1,1,153,223,24190,27004,Augusta,34,0,0,0,0,2,7,GA,35998,38691,,,23,,,735,,,69,,,,556,1.4,0.9,629,819,,,65290,59523,60342,65919,TRUE,,
0101000020E6100000280F0BB5A6915EC0AD86C43D96C24240,,,0,0,0,0,0,0,Belmont,266,,,0,0,,,MA,0,0,,,182,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000DA38622D3E355AC0535C55F65DDD4340,,,0,0,0,0,0,0,Aurora,44,0,0,0,0,2,7,IL,0,0,,,33,,,6198,,,10,,,,4522,,9.6,4533,,13.3,,42637,,46589,47170,TRUE,,
0101000020E6100000CFBD874B8E6F58C05C2041F163443E40,,,0,0,0,0,0,14861,Austin,152,0,0,0,44,2,7,TX,0,73025,,,130,,,3022,,,14,,,,2996,5.7,3.4,3020,3042,,,84910,50078,53120,87930,TRUE,,
0101000020E61000000C3CF71E2E2753C0CCB4FD2B2BA54340,1,6,21,28,579,524,142106,165843,Baltimore,68,10227,10916,0,0,1,6,MD,662168,692705,724,244,55,22,273,74451,545,5,167,2,10,184,60969,9.4,7.2,61698,75448,,,797402,729426,804874,859100,TRUE,,
0101000020E6100000255D33F9664B55C0AA8251499D284540,,,0,0,0,0,0,0,Battle Creek,69,0,0,0,0,2,7,MI,0,0,,,56,,,3441,,,13,,1,,2591,,6,2629,,7.9,,40824,,43573,43453,TRUE,,
0101000020E61000003EAE0D15E3F854C0003ACC9717CC4540,,,0,0,0,0,0,0,Bay City,70,0,0,0,0,2,7,MI,0,0,,,57,,,6672,,,,,,,4356,,9.1,4362,,14.1,,43594,,47355,47956,TRUE,,
0101000020E61000003FC6DCB5848657C020D26F5F07163E40,,,,,,,,18921,Beaumont,153,,,,35,,,TX,,40105,,,131,,,1828,,,,,,,1401,3.2,2.4,1413,1850,,,57648,55882,57732,59061,TRUE,,
0101000020E6100000791EDC9DB5D752C0EACA67791E504440,,,,,,,,,Bethlehem,130,,,,,,,PA,,,,,109,,,10390,,,,,,,6167,18,14,8175,10410,,,50315,47482,57892,58490,TRUE,,
0101000020E61000007E5704FF5BB355C0ED2AA4FCA4C24040,,,0,0,0,0,0,0,Birmingham,10,5163,5330,0,0,1,6,AL,0,0,18,,1,,15,5881,24,,7,,,7,4425,2.3,1.7,4456,5914,,,263127,253764,259678,267583,TRUE,,
0101000020E61000000BD28C45D3C351C0E0F3C308E12D4540,4,11,0,0,0,0,0,0,Boston,267,,,0,0,,,MA,0,0,3287,959,183,50,1024,229376,2669,19,472,15,41,547,180864,29.9,23.9,184080,233687,,,586736,547501,781188,770816,TRUE,,
0101000020E610000075ABE7A4F7BF51C0959F54FB741C4540,,,0,0,0,0,0,0,Braintree,268,,,0,0,,,MA,0,0,,,184,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E610000057CF49EF1B4D52C0DA8F149161954440,,,41,28,71,53,38742,50407,Bridgeport,180,6231,7259,0,0,1,6,CT,221621,244246,253,,157,,42,40767,224,0,10,3,0,13,33431,28,22.9,33668,41062,,,113453,105654,146716,147121,TRUE,,
0101000020E6100000A1B94E232DC151C0ADC090D5AD0A4540,,,,,,,,,Brockton,184,,,,,,,MA,,,,,161,,,14275,,,,,,,11514,22.4,18.5,11547,14317,,,50796,49480,63797,62343,TRUE,,
0101000020E6100000494BE5ED08235DC0C5387F130A2D4840,2,23,29,62,476,801,12930,23529,Bronx,98,0,0,0,0,2,7,NY,1251823,1370319,1744,189,82,87,301,477406,2538,21,342,16,60,439,460476,37.9,33.2,463453,479451,,,931258,785807,1265258,1394711,TRUE,,
0101000020E61000005665DF15C1C751C07C0F971C772A4540,,,0,0,0,0,0,0,Brookline,269,,,0,0,,,MA,0,0,,,185,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000E23B31EBC57C52C097900F7A36534440,39,71,126,463,2539,2608,68921,107263,Brooklyn,99,0,0,0,0,2,7,NY,2488815,2587951,11266,979,83,142,1231,869074,9276,62,759,229,90,1140,767638,34.4,28.8,778054,881571,,,1920231,1678830,2560401,2698285,TRUE,,
0101000020E610000067F2CD3637B853C005C58F3177714540,115,5,,,,,,,Buffalo,195,,,,,,,NY,,,361,79,172,11,210,118370,325,2,51,225,9,287,91789,20.8,16,92401,118941,,,483500,454135,573076,575901,TRUE,,
0101000020E61000005B087250C2C651C0645DDC4603304540,,,0,0,0,0,0,0,Cambridge,270,,,0,0,,,MA,0,0,,,186,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000A4FCA4DAA7C752C098DD938785F64340,,,,,,,,,Camden,191,,,,,,,NJ,,,66,,168,,30,18620,45,2,20,2,0,24,14996,15.8,12.8,15065,18716,,,102471,99984,118700,117536,TRUE,,
0101000020E61000001EDC9DB5DBDE54C088F4DBD781274540,,,,,,,,,Canton,198,,,,,,,OH,,,54,,175,,20,13231,27,0,22,0,0,22,11069,12.7,10.3,11118,13305,,,97283,91601,104906,108401,TRUE,,
0101000020E61000004FCC7A3194FB53C0018750A566634040,,,0,0,25,16,6734,7011,Charleston,177,0,0,0,0,2,7,WV,53649,60887,,,154,,,1746,,,2,,,,1608,2.9,2.4,1620,1769,,,66294,58639,60408,67914,TRUE,,
0101000020E6100000B21188D7F53554C0D39FFD48119D4140,,,0,0,22,21,25163,31403,Charlotte,91,0,5228,0,0,2,6,NC,57490,69475,7,,76,,16,893,9,0,7,0,0,7,892,1.1,0.9,908,916,,,99991,81759,82675,100899,TRUE,,
0101000020E61000006B0E10CCD15355C0B6DB2E34D7854140,,,3,8,8,9,0,36404,Chattanooga,147,7395,4677,0,0,1,6,TN,86498,91742,11,,126,,5,1467,5,1,4,1,0,6,1114,1.2,0.9,1125,1483,,,127038,118315,119795,128163,TRUE,,
0101000020E6100000F91400E319C251C0C3F0113125324540,,,0,0,0,0,0,0,Chelsea,271,,,0,0,,,MA,0,0,,,187,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000007E18213CDAD652C038328FFCC1EC4340,,,,,,,,,Chester,131,,,,,,,PA,,,,,110,,,8055,,,8,,,,6539,13.7,11.1,6571,8100,,,52714,51064,59164,59285,TRUE,,
0101000020E61000002979758E01BB53C0C425C79DD2294440,,,,,,,,,Johnstown,134,,,,,,,PA,,,,,113,,,9704,,,5,,,,7290,14.5,11,7305,9716,,,59363,57277,66993,66668,TRUE,,
0101000020E6100000F2B0506B9AE955C0374F75C8CDEC4440,33,120,0,0,0,0,0,0,Chicago,45,16723,16434,0,0,1,6,IL,0,0,1338,1824,34,317,2294,855777,1026,69,1089,65,193,1416,672705,25.5,19.9,675147,859409,,,2721661,2517029,3376438,3396808,TRUE,,
0101000020E6100000EDD3F198816C54C00E2DB29DEFBF4440,8,23,48,38,649,377,71899,84504,Cleveland,115,12718,12016,0,0,1,6,OH,827833,793417,471,347,95,22,400,230075,402,18,168,5,8,199,179183,25.6,20.5,179784,230946,,,698552,669483,900429,878336,TRUE,,
0101000020E6100000B8E4B8533A4254C0DC63E94317004140,,,,,,,,22195,Columbia,146,,,,10,,,SC,,40191,,,125,,,525,,,,,,,508,2.6,1.9,1319,1639,,,69956,60626,62265,71275,TRUE,,
0101000020E61000009964E42CECBF54C0DEC83CF207FB4340,1,4,22,14,140,125,32774,35765,Columbus,116,7547,7848,0,0,1,6,OH,257628,270183,50,82,96,1,88,15304,63,6,54,1,1,62,11927,5.3,3.9,12052,15442,,,294035,275122,290564,306087,TRUE,,
0101000020E61000009964E42CECBF54C0DEC83CF207FB4340,,,22,14,140,125,14157,17453,Columbus,35,7547,7848,0,23,1,6,GA,28972,35804,,,24,,,275,,,,,,,286,,0.5,290,,0.6,,52990,28697,43131,53280,TRUE,,
0101000020E61000009B5AB6D617F757C0D3C1FA3F87A14440,,,,,,,,,Council Bluffs,38,,,,,,,IA,,,,,27,,,3208,,,,,,,2335,,5.7,2388,,7.6,,39101,,42043,41489,TRUE,,
0101000020E61000005F984C158C2055C002D4D4B2B58A4340,,,,,,,,3154,Covington,60,,,,6,,,KY,,58858,,,49,,,1900,,,,,,,1166,2.9,1.9,1173,1917,,,60845,63335,65252,62018,TRUE,,
0101000020E6100000842A357BA03358C02367614F3B644040,1,4,,,,,,,Dallas,154,,,,,,,TX,,,20,8,132,37,50,9391,12,0,15,2,11,28,7355,3.6,2.5,7395,9461,,,287339,251014,260475,294734,TRUE,,
0101000020E61000002237C30DF8A456C05070B1A206C34440,,,,,,,,801,Davenport,39,,,,3,,,IA,,65235,,,28,,,5744,,,,,,,4177,9.5,6.3,4179,5783,,,61860,54968,60751,66039,TRUE,,
0101000020E61000008AE59656430C55C04CA60A4625E14340,,,2,9,43,22,17077,20273,Dayton,117,11104,8891,0,0,1,6,OH,183860,190414,32,,97,,20,12042,16,3,9,3,1,16,9329,6,4.4,9361,12094,,,201357,188888,200982,210718,TRUE,,
0101000020E6100000228E75711B3D56C03A4030478FEB4340,,,0,0,0,0,0,0,Decatur,46,0,0,0,0,2,7,IL,0,0,,,35,,,2360,,,,,,,1797,4.1,3,1805,2371,,,57500,55139,57510,59305,TRUE,,
0101000020E6100000D1798D5DA2CA51C0B493C151F21E4540,,,0,0,0,0,0,0,Dedham,272,,,0,0,,,MA,0,0,,,188,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000C2172653053F5AC0516B9A779CDE4340,5,7,,,,,,,Denver,23,,,,,,,CO,,,32,87,14,199,298,32527,29,6,47,31,112,196,24757,11.4,7.7,24982,32857,,,297430,255004,287861,322412,TRUE,,
0101000020E6100000A96A82A8FB6657C04DF8A57EDECC4440,0,1,,,,,,6360,Des Moines,40,,,,33,,,IA,,"153,426",14,20,29,1,22,9469,8,0,7,0,1,8,7474,6.7,4.7,7490,9505,,,152329,133054,142559,159819,TRUE,,
